video_id,segment,start,end,covarep,opensmile,facet,phonemes,words,openface
,,,,s,s,s,s,s,s
100178,1,0.0,73.306000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/100178.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/100178.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/100178.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/100178_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/100178_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/100178.csv
100232,1,0.0,80.713000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/100232.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/100232.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/100232.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/100232_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/100232_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/100232.csv
100367,1,0.0,64.645000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/100367.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/100367.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/100367.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/100367_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/100367_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/100367.csv
100446,1,0.0,65.599000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/100446.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/100446.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/100446.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/100446_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/100446_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/100446.csv
100499,1,0.0,68.101000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/100499.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/100499.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/100499.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/100499_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/100499_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/100499.csv
100961,1,0.0,81.408000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/100961.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/100961.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/100961.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/100961_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/100961_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/100961.csv
10124,1,0.0,99.968000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/10124.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/10124.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/10124.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/10124_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/10124_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/10124.csv
101281,1,0.0,85.450000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/101281.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/101281.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/101281.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/101281_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/101281_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/101281.csv
101513,1,0.0,94.691000,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/COVAREP/Full/101513.mat,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Audio/OpenSmile/Full/emobase2010/101513.arff,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/FACET/Full/101513.FACET_out.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Phonemes/Full/101513_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/Words/Full/101513_1.csv,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Video/OpenFace/Full/101513.csv
