video_id,segment,start,end,p2fa
,,,,s
100178,1,0,73.306,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/100178_aligned.json
100232,1,0,80.713,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/100232_aligned.json
100367,1,0,64.645,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/100367_aligned.json
100446,1,0,65.599,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/100446_aligned.json
100499,1,0,68.101,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/100499_aligned.json
100961,1,0,81.408,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/100961_aligned.json
10124,1,0,99.968,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/10124_aligned.json
101281,1,0,85.45,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101281_aligned.json
101513,1,0,94.691,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101513_aligned.json
101635,1,0,81.181,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101635_aligned.json
101708,1,0,86.112,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101708_aligned.json
101733,1,0,85.376,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101733_aligned.json
101747,1,0,78.176,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101747_aligned.json
101787,1,0,73.654,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101787_aligned.json
101851,1,0,123.716,/media/bighdd4/Prateek/datasets/aligned_dataset/POM/Features/Transcript/P2FA/Full/101851_aligned.json
